core_id,depth,treatment,root_dry_biomass_g,thin_white_branched,thin_white_unbranched,thick_white_branched,thick_white_unbranched,thin_beige_branched,thin_beige_unbranched,thick_beige_branched,thick_beige_unbranched,thin_brown_branched,thin_brown_unbranched,thick_brown_branched,thick_brown_unbranched,thin_black_branched,thin_black_unbranched,thick_black_branched,thick_black_unbranched
RC21.6Top,Top,Heatwave,0.025,present,present,absent,absent,absent,absent,present,present,absent,absent,absent,absent,absent,absent,absent,absent
RC21.6Bottom,Bottom,Heatwave,0.007,present,present,absent,absent,absent,absent,present,present,present,absent,absent,absent,absent,absent,absent,absent
RC12.6Top,Top,Heatwave,0.013,absent,present,absent,absent,present,present,absent,present,present,present,absent,absent,absent,absent,absent,absent
RC12.6Bottom,Bottom,Heatwave,0.047,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent
RC3.6Top,Top,Heatwave,0.001,present,absent,absent,present,absent,present,present,present,absent,absent,absent,present,absent,absent,absent,absent
RC3.6Bottom,Bottom,Heatwave,0,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,present,absent,absent,absent
RC11.6Top,Top,Heatwave,0.003,present,present,absent,present,absent,present,absent,absent,present,present,absent,absent,absent,absent,absent,absent
RC11.6Bottom,Bottom,Heatwave,0.007,present,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,present,present,absent,absent
RC9.6Top,Top,Control,0.005,present,absent,absent,absent,absent,present,absent,absent,absent,present,absent,absent,absent,present,absent,absent
RC9.6Bottom,Bottom,Control,0,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,present,absent,absent
RC15.6Top,Top,Control,0.005,present,present,absent,absent,absent,present,absent,absent,present,present,absent,absent,absent,absent,absent,absent
RC15.6Bottom,Bottom,Control,0.01,present,present,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent
RC14.6Top,Top,Control,0.019,present,present,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent
RC14.6Bottom,Bottom,Control,0.011,present,absent,absent,present,absent,present,present,absent,absent,absent,absent,present,absent,absent,absent,absent
